Date,Users
1/1/2020,13
2/1/2020,17
3/1/2020,13
4/1/2020,4
5/1/2020,10
6/1/2020,29
7/1/2020,43
8/1/2020,27
9/1/2020,26
10/1/2020,20
11/1/2020,7
12/1/2020,7
13/1/2020,27
14/1/2020,33
15/1/2020,16
16/1/2020,14
17/1/2020,14
18/1/2020,18
19/1/2020,25
20/1/2020,16
21/1/2020,24
22/1/2020,17
23/1/2020,39
24/1/2020,43
25/1/2020,35
26/1/2020,37
27/1/2020,189
28/1/2020,197
29/1/2020,142
30/1/2020,79
31/1/2020,60
1/2/2020,46
2/2/2020,47
3/2/2020,60
4/2/2020,52
5/2/2020,38
6/2/2020,32
7/2/2020,40
8/2/2020,21
9/2/2020,30
10/2/2020,33
11/2/2020,13
12/2/2020,71
13/2/2020,59
14/2/2020,38
15/2/2020,45
16/2/2020,59
17/2/2020,46
18/2/2020,60
19/2/2020,77
20/2/2020,59
21/2/2020,51
22/2/2020,45
23/2/2020,30
24/2/2020,28
25/2/2020,80
26/2/2020,50
27/2/2020,53
28/2/2020,74
29/2/2020,46
1/3/2020,27
2/3/2020,62
3/3/2020,65
4/3/2020,75
5/3/2020,56
6/3/2020,52
7/3/2020,58
8/3/2020,41
9/3/2020,119
10/3/2020,78
11/3/2020,99
12/3/2020,62
13/3/2020,28
14/3/2020,10
15/3/2020,10
16/3/2020,10
17/3/2020,14
18/3/2020,13
19/3/2020,9
20/3/2020,27
21/3/2020,19
22/3/2020,7
23/3/2020,14
24/3/2020,8
25/3/2020,13
26/3/2020,10
27/3/2020,14
28/3/2020,7
29/3/2020,13
30/3/2020,5
31/3/2020,6
1/4/2020,10
2/4/2020,16
3/4/2020,13
4/4/2020,9
5/4/2020,16
6/4/2020,3
7/4/2020,6
8/4/2020,9
9/4/2020,0
10/4/2020,10
11/4/2020,14
12/4/2020,5
13/4/2020,6
14/4/2020,6
15/4/2020,10
16/4/2020,2
17/4/2020,12
18/4/2020,3
19/4/2020,6
20/4/2020,16
21/4/2020,10
22/4/2020,12
23/4/2020,2
24/4/2020,11
25/4/2020,2
26/4/2020,2
27/4/2020,12
28/4/2020,8
29/4/2020,23
30/4/2020,6
1/5/2020,9
2/5/2020,8
3/5/2020,11
4/5/2020,19
5/5/2020,4
6/5/2020,13
7/5/2020,26
8/5/2020,17
9/5/2020,11
10/5/2020,10
11/5/2020,18
12/5/2020,9
13/5/2020,12
14/5/2020,10
15/5/2020,10
16/5/2020,22
17/5/2020,9
18/5/2020,13
19/5/2020,10
20/5/2020,21
21/5/2020,12
22/5/2020,2
23/5/2020,13
24/5/2020,11
25/5/2020,16
26/5/2020,9
27/5/2020,8
28/5/2020,20
29/5/2020,22
30/5/2020,6
31/5/2020,21
1/6/2020,28
2/6/2020,14
3/6/2020,8
4/6/2020,4
5/6/2020,20
6/6/2020,7
7/6/2020,20
8/6/2020,12
9/6/2020,6
10/6/2020,12
11/6/2020,13
12/6/2020,11
13/6/2020,15
14/6/2020,15
15/6/2020,8
16/6/2020,32
17/6/2020,25
18/6/2020,53
19/6/2020,18
20/6/2020,20
21/6/2020,18
22/6/2020,34
23/6/2020,43
24/6/2020,45
25/6/2020,18
26/6/2020,62
27/6/2020,31
28/6/2020,32
29/6/2020,47
30/6/2020,54
1/7/2020,45
2/7/2020,36
3/7/2020,38
4/7/2020,24
5/7/2020,36
6/7/2020,36
7/7/2020,45
8/7/2020,92
9/7/2020,34
10/7/2020,66
11/7/2020,76
12/7/2020,60
13/7/2020,131
14/7/2020,47
15/7/2020,53
16/7/2020,42
17/7/2020,43
18/7/2020,45
19/7/2020,22
20/7/2020,46
21/7/2020,101
22/7/2020,70
23/7/2020,60
24/7/2020,45
25/7/2020,28
26/7/2020,61
27/7/2020,82
28/7/2020,77
29/7/2020,73
30/7/2020,47
31/7/2020,57
1/8/2020,38
2/8/2020,44
3/8/2020,88
4/8/2020,24
5/8/2020,30
6/8/2020,60
7/8/2020,42
8/8/2020,61
9/8/2020,40
10/8/2020,53
11/8/2020,50
12/8/2020,41
13/8/2020,68
14/8/2020,43
15/8/2020,24
16/8/2020,31
17/8/2020,42
18/8/2020,36
19/8/2020,36
20/8/2020,46
21/8/2020,40
22/8/2020,33
23/8/2020,28
24/8/2020,35
25/8/2020,48
26/8/2020,57
27/8/2020,69
28/8/2020,54
29/8/2020,43
30/8/2020,40
31/8/2020,66
1/9/2020,58
2/9/2020,48
3/9/2020,52
4/9/2020,26
5/9/2020,39
6/9/2020,45
7/9/2020,100
8/9/2020,89
9/9/2020,95
10/9/2020,87
11/9/2020,55
12/9/2020,32
13/9/2020,87
14/9/2020,86
15/9/2020,112
16/9/2020,174
17/9/2020,43
18/9/2020,60
19/9/2020,32
20/9/2020,13
21/9/2020,45
22/9/2020,28
23/9/2020,39
24/9/2020,54
25/9/2020,38
26/9/2020,20
27/9/2020,6
28/9/2020,48
29/9/2020,58
30/9/2020,62
1/10/2020,32
2/10/2020,15
